league,season,date,team,h_a,result,pts,goals_scored,goals_missed,deep_passes,deep_passes_allowed,ppda,oppda
Bundesliga,2018,2019-05-04 14:30:00,Wolfsburg,h,w,3,2,0,8,2,7.290322580645161,19.0
Bundesliga,2018,2019-05-11 14:30:00,Wolfsburg,a,l,0,0,3,3,2,5.956521739130435,12.565217391304348
Bundesliga,2018,2019-05-18 13:30:00,Wolfsburg,h,w,3,8,1,9,8,7.954545454545454,15.823529411764708
Bundesliga,2018,2018-08-25 16:30:00,Eintracht Frankfurt,a,w,3,2,0,2,13,15.866666666666667,9.421052631578949
Bundesliga,2018,2018-09-01 13:30:00,Eintracht Frankfurt,h,l,0,1,2,1,9,36.0,8.173913043478262
Bundesliga,2018,2018-09-14 18:30:00,Eintracht Frankfurt,a,l,0,1,3,1,1,15.962962962962964,9.214285714285714
Bundesliga,2018,2018-09-23 16:00:00,Eintracht Frankfurt,h,d,1,1,1,4,5,7.655172413793103,10.411764705882351
Bundesliga,2018,2018-09-26 18:30:00,Eintracht Frankfurt,a,l,0,1,3,3,7,14.88888888888889,14.923076923076923
Bundesliga,2018,2018-09-30 13:30:00,Eintracht Frankfurt,h,w,3,4,1,8,2,9.296296296296296,6.3
Bundesliga,2018,2018-10-07 13:30:00,Eintracht Frankfurt,a,w,3,2,1,1,12,13.857142857142858,6.684210526315789
Bundesliga,2018,2018-10-19 18:30:00,Eintracht Frankfurt,h,w,3,7,1,8,3,14.77777777777778,14.608695652173912
Bundesliga,2018,2018-10-28 11:30:00,Eintracht Frankfurt,a,d,1,1,1,4,3,11.947368421052632,17.933333333333334
Bundesliga,2018,2018-11-02 19:30:00,Eintracht Frankfurt,a,w,3,3,0,11,2,11.923076923076923,16.333333333333332
Bundesliga,2018,2018-11-11 17:00:00,Eintracht Frankfurt,h,w,3,3,0,3,1,7.666666666666667,8.833333333333334
Bundesliga,2018,2018-11-24 14:30:00,Eintracht Frankfurt,a,w,3,3,1,10,14,14.157894736842104,7.666666666666667
Bundesliga,2018,2018-12-02 17:00:00,Eintracht Frankfurt,h,l,0,1,2,10,2,6.428571428571429,7.8
Bundesliga,2018,2018-12-08 17:30:00,Eintracht Frankfurt,a,l,0,0,1,6,5,6.869565217391305,8.75
Bundesliga,2018,2018-12-16 17:00:00,Eintracht Frankfurt,h,w,3,2,1,10,4,6.052631578947368,9.409090909090908
Bundesliga,2018,2018-12-19 19:30:00,Eintracht Frankfurt,a,d,1,2,2,3,5,6.884615384615385,7.206896551724138
Bundesliga,2018,2018-12-22 17:30:00,Eintracht Frankfurt,h,l,0,0,3,3,12,17.285714285714285,14.0
Bundesliga,2018,2019-01-19 14:30:00,Eintracht Frankfurt,h,w,3,3,1,5,5,8.64516129032258,15.125
Bundesliga,2018,2019-01-26 17:30:00,Eintracht Frankfurt,a,d,1,2,2,2,10,7.36,15.25
Bundesliga,2018,2019-02-02 14:30:00,Eintracht Frankfurt,h,d,1,1,1,3,11,8.842105263157896,18.0
Bundesliga,2018,2019-02-09 14:30:00,Eintracht Frankfurt,a,d,1,0,0,6,6,8.0,11.0
Bundesliga,2018,2019-02-17 14:30:00,Eintracht Frankfurt,h,d,1,1,1,3,9,13.458333333333334,10.210526315789474
Bundesliga,2018,2019-02-24 14:30:00,Eintracht Frankfurt,a,w,3,3,0,5,6,11.157894736842104,9.565217391304348
Bundesliga,2018,2019-03-02 14:30:00,Eintracht Frankfurt,h,w,3,3,2,12,5,6.567567567567568,9.571428571428571
Bundesliga,2018,2019-03-11 19:30:00,Eintracht Frankfurt,a,w,3,3,0,2,3,8.931034482758621,16.5625
Bundesliga,2018,2019-03-17 14:30:00,Eintracht Frankfurt,h,w,3,1,0,17,2,6.727272727272728,14.5
Bundesliga,2018,2019-03-31 16:00:00,Eintracht Frankfurt,h,w,3,3,0,6,4,7.384615384615385,12.833333333333334
Bundesliga,2018,2019-04-06 14:30:00,Eintracht Frankfurt,a,w,3,2,1,2,3,5.304347826086956,9.642857142857142
Bundesliga,2018,2019-04-14 17:00:00,Eintracht Frankfurt,h,l,0,1,3,8,8,10.083333333333334,9.166666666666666
Bundesliga,2018,2019-04-22 19:30:00,Eintracht Frankfurt,a,d,1,1,1,2,6,13.15,8.2
Bundesliga,2018,2019-04-27 14:30:00,Eintracht Frankfurt,h,d,1,0,0,6,3,8.035714285714286,4.878787878787879
Bundesliga,2018,2019-05-05 17:00:00,Eintracht Frankfurt,a,l,0,1,6,1,16,24.64516129032258,5.444444444444445
Bundesliga,2018,2019-05-12 17:00:00,Eintracht Frankfurt,h,l,0,0,2,9,7,5.652173913043479,7.5
Bundesliga,2018,2019-05-18 13:30:00,Eintracht Frankfurt,a,l,0,1,5,1,13,15.705882352941176,8.0
Bundesliga,2018,2018-08-26 16:30:00,VfB Stuttgart,a,l,0,0,1,4,4,14.352941176470589,8.178571428571429
Bundesliga,2018,2018-09-01 16:30:00,VfB Stuttgart,h,l,0,0,3,6,18,31.666666666666668,7.88
Bundesliga,2018,2018-09-16 16:00:00,VfB Stuttgart,a,d,1,3,3,6,4,9.65,17.375
Bundesliga,2018,2018-09-21 18:30:00,VfB Stuttgart,h,d,1,0,0,10,6,8.481481481481481,9.357142857142858
Bundesliga,2018,2018-09-26 18:30:00,VfB Stuttgart,a,l,0,0,2,3,8,8.05,14.863636363636363
Bundesliga,2018,2018-09-29 13:30:00,VfB Stuttgart,h,w,3,2,1,5,4,13.526315789473683,7.45
Bundesliga,2018,2018-10-06 13:30:00,VfB Stuttgart,a,l,0,1,3,3,2,9.4,8.615384615384615
Bundesliga,2018,2018-10-20 13:30:00,VfB Stuttgart,h,l,0,0,4,6,8,16.6,18.4375
Bundesliga,2018,2018-10-27 16:30:00,VfB Stuttgart,a,l,0,0,4,0,19,23.5,3.931034482758621
Bundesliga,2018,2018-11-02 19:30:00,VfB Stuttgart,h,l,0,0,3,2,11,16.333333333333332,11.923076923076923
Bundesliga,2018,2018-11-10 14:30:00,VfB Stuttgart,a,w,3,2,0,3,4,14.0625,10.2
Bundesliga,2018,2018-11-23 19:30:00,VfB Stuttgart,a,l,0,0,2,3,13,14.0,11.5
Bundesliga,2018,2018-12-01 14:30:00,VfB Stuttgart,h,w,3,1,0,2,4,15.055555555555555,6.45
Bundesliga,2018,2018-12-09 17:00:00,VfB Stuttgart,a,l,0,0,3,6,9,38.833333333333336,10.666666666666666
Bundesliga,2018,2018-12-15 14:30:00,VfB Stuttgart,h,w,3,2,1,2,4,9.346153846153848,11.77777777777778
Bundesliga,2018,2018-12-18 19:30:00,VfB Stuttgart,a,l,0,0,2,4,9,10.307692307692308,5.958333333333333
Bundesliga,2018,2018-12-22 14:30:00,VfB Stuttgart,h,l,0,1,3,1,10,9.5,18.0
Bundesliga,2018,2019-01-19 14:30:00,VfB Stuttgart,h,l,0,2,3,18,8,4.724137931034483,12.227272727272728
Bundesliga,2018,2019-01-27 14:30:00,VfB Stuttgart,a,l,0,1,4,2,15,21.82608695652174,7.473684210526316
Bundesliga,2018,2019-02-03 17:00:00,VfB Stuttgart,h,d,1,2,2,8,4,7.9375,21.9375
Bundesliga,2018,2019-02-10 17:00:00,VfB Stuttgart,a,l,0,0,3,5,7,8.52,11.96
Bundesliga,2018,2019-02-16 14:30:00,VfB Stuttgart,h,l,0,1,3,4,2,6.323529411764706,13.22222222222222
Bundesliga,2018,2019-02-22 19:30:00,VfB Stuttgart,a,d,1,1,1,3,7,29.714285714285715,10.133333333333333
Bundesliga,2018,2019-03-03 14:30:00,VfB Stuttgart,h,w,3,5,1,7,4,8.666666666666666,11.333333333333334
Bundesliga,2018,2019-03-09 14:30:00,VfB Stuttgart,a,l,0,1,3,2,11,19.857142857142858,8.11111111111111
Bundesliga,2018,2019-03-16 14:30:00,VfB Stuttgart,h,d,1,1,1,4,15,19.05555555555556,7.761904761904762
Bundesliga,2018,2019-03-31 16:00:00,VfB Stuttgart,a,l,0,0,3,4,6,12.833333333333334,7.384615384615385
Bundesliga,2018,2019-04-06 14:30:00,VfB Stuttgart,h,d,1,1,1,6,5,7.310344827586207,11.833333333333334
Bundesliga,2018,2019-04-13 14:30:00,VfB Stuttgart,h,l,0,0,1,5,10,15.642857142857142,10.571428571428571
Bundesliga,2018,2019-04-20 14:30:00,VfB Stuttgart,a,l,0,0,6,5,9,19.53333333333333,12.043478260869565
Bundesliga,2018,2019-04-27 17:30:00,VfB Stuttgart,h,w,3,1,0,4,7,12.23076923076923,5.75
Bundesliga,2018,2019-05-04 14:30:00,VfB Stuttgart,a,l,0,1,3,4,2,10.692307692307692,11.238095238095235
Bundesliga,2018,2019-05-11 14:30:00,VfB Stuttgart,h,w,3,3,0,2,3,12.565217391304348,5.956521739130435
Bundesliga,2018,2019-05-18 13:30:00,VfB Stuttgart,a,d,1,0,0,4,8,11.842105263157896,17.0
Bundesliga,2018,2018-08-25 16:30:00,Freiburg,h,l,0,0,2,13,2,9.421052631578949,15.866666666666667
Bundesliga,2018,2018-09-01 13:30:00,Freiburg,a,l,0,1,3,4,4,8.67741935483871,6.875
Bundesliga,2018,2018-09-16 16:00:00,Freiburg,h,d,1,3,3,4,6,17.375,9.65
Bundesliga,2018,2018-09-22 13:30:00,Freiburg,a,w,3,3,1,3,7,19.33333333333333,3.2142857142857144
Bundesliga,2018,2018-09-25 18:30:00,Freiburg,h,w,3,1,0,5,3,9.041666666666666,7.409090909090909
Bundesliga,2018,2018-09-30 16:00:00,Freiburg,a,l,0,1,4,3,10,12.88888888888889,8.535714285714286
Bundesliga,2018,2018-10-07 11:30:00,Freiburg,h,d,1,0,0,5,3,11.875,7.730769230769231
Bundesliga,2018,2018-10-21 13:30:00,Freiburg,a,d,1,1,1,3,4,17.45,8.0
Bundesliga,2018,2018-10-26 18:30:00,Freiburg,h,w,3,3,1,3,4,23.125,13.590909090909092
Bundesliga,2018,2018-11-03 14:30:00,Freiburg,a,d,1,1,1,1,17,21.875,6.0
Bundesliga,2018,2018-11-10 14:30:00,Freiburg,h,l,0,1,3,3,6,6.291666666666667,12.041666666666666
Bundesliga,2018,2018-11-25 14:30:00,Freiburg,h,d,1,1,1,7,13,16.833333333333332,15.125
Bundesliga,2018,2018-12-01 14:30:00,Freiburg,a,l,0,0,2,0,7,20.142857142857142,10.375
Bundesliga,2018,2018-12-08 14:30:00,Freiburg,h,w,3,3,0,1,7,11.842105263157896,5.793103448275862
Bundesliga,2018,2018-12-15 14:30:00,Freiburg,a,l,0,0,2,6,14,8.428571428571429,16.72
Bundesliga,2018,2018-12-19 19:30:00,Freiburg,h,d,1,1,1,3,7,8.935483870967742,9.833333333333334
Bundesliga,2018,2018-12-22 14:30:00,Freiburg,a,w,3,1,0,3,8,14.952380952380953,8.545454545454545
Bundesliga,2018,2019-01-19 14:30:00,Freiburg,a,l,0,1,3,5,5,15.125,8.64516129032258
Bundesliga,2018,2019-01-26 14:30:00,Freiburg,h,l,0,2,4,3,6,9.424242424242424,6.866666666666666
Bundesliga,2018,2019-02-03 17:00:00,Freiburg,a,d,1,2,2,4,8,21.9375,7.9375
Bundesliga,2018,2019-02-09 14:30:00,Freiburg,h,d,1,3,3,8,8,10.545454545454543,12.15
Bundesliga,2018,2019-02-16 14:30:00,Freiburg,a,d,1,0,0,5,3,8.678571428571429,19.375
Bundesliga,2018,2019-02-23 14:30:00,Freiburg,h,w,3,5,1,7,6,10.033333333333331,8.142857142857142
Bundesliga,2018,2019-03-02 14:30:00,Freiburg,a,l,0,0,2,2,11,31.26315789473684,9.571428571428571
Bundesliga,2018,2019-03-09 14:30:00,Freiburg,h,w,3,2,1,3,3,20.3125,5.407407407407407
Bundesliga,2018,2019-03-15 19:30:00,Freiburg,a,d,1,1,1,3,12,18.727272727272727,14.23076923076923
Bundesliga,2018,2019-03-30 14:30:00,Freiburg,h,d,1,1,1,3,12,28.133333333333333,5.46875
Bundesliga,2018,2019-04-05 19:30:00,Freiburg,a,l,0,0,5,6,6,6.107142857142857,14.964285714285714
Bundesliga,2018,2019-04-13 14:30:00,Freiburg,a,l,0,1,2,3,8,22.153846153846157,4.216216216216216
Bundesliga,2018,2019-04-21 14:30:00,Freiburg,h,l,0,0,4,3,8,16.074074074074073,27.727272727272727
Bundesliga,2018,2019-04-27 14:30:00,Freiburg,a,l,0,1,2,8,9,9.272727272727272,12.625
Bundesliga,2018,2019-05-05 14:30:00,Freiburg,h,d,1,1,1,0,8,16.90909090909091,12.941176470588236
Bundesliga,2018,2019-05-11 14:30:00,Freiburg,a,l,0,0,3,5,12,13.0,7.645161290322581
Bundesliga,2018,2019-05-18 13:30:00,Freiburg,h,w,3,5,1,6,2,9.517241379310343,32.92857142857143
Bundesliga,2018,2018-08-26 19:00:00,RasenBallsport Leipzig,a,l,0,1,4,4,4,7.6,10.95
Bundesliga,2018,2018-09-02 13:30:00,RasenBallsport Leipzig,h,d,1,1,1,10,5,5.571428571428571,8.6
Bundesliga,2018,2018-09-15 13:30:00,RasenBallsport Leipzig,h,w,3,3,2,5,6,21.26315789473684,7.0
Bundesliga,2018,2018-09-23 16:00:00,RasenBallsport Leipzig,a,d,1,1,1,5,4,10.411764705882351,7.655172413793103
Bundesliga,2018,2018-09-26 18:30:00,RasenBallsport Leipzig,h,w,3,2,0,8,3,14.863636363636363,8.05
Bundesliga,2018,2018-09-29 13:30:00,RasenBallsport Leipzig,a,w,3,2,1,9,11,13.208333333333334,7.814814814814815
Bundesliga,2018,2018-10-07 16:00:00,RasenBallsport Leipzig,h,w,3,6,0,5,2,8.2,28.916666666666668
Bundesliga,2018,2018-10-20 13:30:00,RasenBallsport Leipzig,a,d,1,0,0,7,1,5.351351351351352,4.696969696969697
Bundesliga,2018,2018-10-28 13:30:00,RasenBallsport Leipzig,h,d,1,0,0,8,2,4.444444444444445,11.0
Bundesliga,2018,2018-11-03 17:30:00,RasenBallsport Leipzig,a,w,3,3,0,17,7,10.68,12.647058823529411
Bundesliga,2018,2018-11-11 14:30:00,RasenBallsport Leipzig,h,w,3,3,0,11,1,13.74074074074074,9.090909090909092
Bundesliga,2018,2018-11-24 14:30:00,RasenBallsport Leipzig,a,l,0,0,1,8,4,6.444444444444445,12.8125
Bundesliga,2018,2018-12-02 14:30:00,RasenBallsport Leipzig,h,w,3,2,0,8,3,25.235294117647054,14.05
Bundesliga,2018,2018-12-08 14:30:00,RasenBallsport Leipzig,a,l,0,0,3,7,1,5.793103448275862,11.842105263157896
Bundesliga,2018,2018-12-16 14:30:00,RasenBallsport Leipzig,h,w,3,4,1,9,3,13.736842105263158,7.130434782608695
Bundesliga,2018,2018-12-19 19:30:00,RasenBallsport Leipzig,a,l,0,0,1,0,7,11.87878787878788,6.407407407407407
Bundesliga,2018,2018-12-22 14:30:00,RasenBallsport Leipzig,h,w,3,3,2,7,6,11.689655172413794,11.63157894736842
Bundesliga,2018,2019-01-19 17:30:00,RasenBallsport Leipzig,h,l,0,0,1,7,3,7.878048780487805,16.333333333333332
Bundesliga,2018,2019-01-27 17:00:00,RasenBallsport Leipzig,a,w,3,4,0,3,2,10.733333333333333,11.727272727272728
Bundesliga,2018,2019-02-01 19:30:00,RasenBallsport Leipzig,a,w,3,3,0,3,1,5.777777777777778,11.0
Bundesliga,2018,2019-02-09 14:30:00,RasenBallsport Leipzig,h,d,1,0,0,6,6,11.0,8.0
Bundesliga,2018,2019-02-16 14:30:00,RasenBallsport Leipzig,a,w,3,3,1,2,4,13.22222222222222,6.323529411764706
Bundesliga,2018,2019-02-25 19:30:00,RasenBallsport Leipzig,h,d,1,1,1,7,4,5.288888888888889,5.133333333333334
Bundesliga,2018,2019-03-02 14:30:00,RasenBallsport Leipzig,a,w,3,1,0,4,6,4.282051282051282,10.285714285714286
Bundesliga,2018,2019-03-09 14:30:00,RasenBallsport Leipzig,h,d,1,0,0,20,3,5.708333333333333,30.8
Bundesliga,2018,2019-03-16 14:30:00,RasenBallsport Leipzig,a,w,3,1,0,7,7,6.473684210526316,5.964285714285714
Bundesliga,2018,2019-03-30 17:30:00,RasenBallsport Leipzig,h,w,3,5,0,16,4,17.36842105263158,17.8
Bundesliga,2018,2019-04-06 14:30:00,RasenBallsport Leipzig,a,w,3,4,2,1,9,11.212121212121213,8.05
Bundesliga,2018,2019-04-13 14:30:00,RasenBallsport Leipzig,h,w,3,2,0,7,5,6.441176470588236,10.61111111111111
Bundesliga,2018,2019-04-20 17:30:00,RasenBallsport Leipzig,a,w,3,2,1,4,7,14.92,5.903225806451613
Bundesliga,2018,2019-04-27 14:30:00,RasenBallsport Leipzig,h,w,3,2,1,9,8,12.625,9.272727272727272
Bundesliga,2018,2019-05-03 19:30:00,RasenBallsport Leipzig,a,d,1,3,3,9,9,8.617647058823529,7.208333333333333
Bundesliga,2018,2019-05-11 14:30:00,RasenBallsport Leipzig,h,d,1,0,0,7,8,19.476190476190474,3.5454545454545454
Bundesliga,2018,2019-05-18 13:30:00,RasenBallsport Leipzig,a,l,0,1,2,5,4,11.416666666666666,10.36
Bundesliga,2018,2018-08-25 16:30:00,Fortuna Duesseldorf,h,l,0,1,2,5,4,9.444444444444445,11.04
Bundesliga,2018,2018-09-02 13:30:00,Fortuna Duesseldorf,a,d,1,1,1,5,10,8.6,5.571428571428571
Bundesliga,2018,2018-09-15 13:30:00,Fortuna Duesseldorf,h,w,3,2,1,0,15,17.9375,4.956521739130435
Bundesliga,2018,2018-09-21 18:30:00,Fortuna Duesseldorf,a,d,1,0,0,6,10,9.357142857142858,8.481481481481481
Bundesliga,2018,2018-09-26 16:30:00,Fortuna Duesseldorf,h,l,0,1,2,8,5,12.958333333333334,9.391304347826088
Bundesliga,2018,2018-09-29 13:30:00,Fortuna Duesseldorf,a,l,0,0,3,11,3,13.0,26.23076923076923
Bundesliga,2018,2018-10-06 13:30:00,Fortuna Duesseldorf,h,l,0,0,2,5,4,10.428571428571429,7.423076923076923
Bundesliga,2018,2018-10-19 18:30:00,Fortuna Duesseldorf,a,l,0,1,7,3,8,14.608695652173912,14.77777777777778
Bundesliga,2018,2018-10-27 13:30:00,Fortuna Duesseldorf,h,l,0,0,3,3,6,15.210526315789474,6.916666666666667
Bundesliga,2018,2018-11-04 14:30:00,Fortuna Duesseldorf,a,l,0,0,3,1,9,26.615384615384617,9.107142857142858
Bundesliga,2018,2018-11-10 14:30:00,Fortuna Duesseldorf,h,w,3,4,1,8,3,13.208333333333334,13.15
Bundesliga,2018,2018-11-24 14:30:00,Fortuna Duesseldorf,a,d,1,3,3,0,13,62.44444444444444,6.777777777777778
Bundesliga,2018,2018-11-30 19:30:00,Fortuna Duesseldorf,h,l,0,0,1,6,8,16.41176470588235,22.692307692307693
Bundesliga,2018,2018-12-07 19:30:00,Fortuna Duesseldorf,a,l,0,1,3,4,5,19.571428571428573,5.25925925925926
Bundesliga,2018,2018-12-15 14:30:00,Fortuna Duesseldorf,h,w,3,2,0,14,6,16.72,8.428571428571429
Bundesliga,2018,2018-12-18 19:30:00,Fortuna Duesseldorf,h,w,3,2,1,1,12,23.55555555555556,7.8
Bundesliga,2018,2018-12-22 14:30:00,Fortuna Duesseldorf,a,w,3,1,0,5,5,10.22222222222222,6.307692307692308
Bundesliga,2018,2019-01-19 14:30:00,Fortuna Duesseldorf,a,w,3,2,1,3,3,16.823529411764707,12.782608695652174
Bundesliga,2018,2019-01-27 17:00:00,Fortuna Duesseldorf,h,l,0,0,4,2,3,11.727272727272728,10.733333333333333
Bundesliga,2018,2019-02-02 14:30:00,Fortuna Duesseldorf,a,d,1,1,1,1,3,16.136363636363637,4.966666666666667
Bundesliga,2018,2019-02-10 17:00:00,Fortuna Duesseldorf,h,w,3,3,0,7,5,11.96,8.52
Bundesliga,2018,2019-02-17 17:00:00,Fortuna Duesseldorf,a,l,0,0,2,0,6,35.80952380952381,8.307692307692308
Bundesliga,2018,2019-02-23 17:30:00,Fortuna Duesseldorf,h,w,3,2,1,11,0,5.363636363636363,27.272727272727277
Bundesliga,2018,2019-03-02 14:30:00,Fortuna Duesseldorf,a,w,3,4,0,4,6,8.807692307692308,5.818181818181818
Bundesliga,2018,2019-03-11 19:30:00,Fortuna Duesseldorf,h,l,0,0,3,3,2,16.5625,8.931034482758621
Bundesliga,2018,2019-03-16 14:30:00,Fortuna Duesseldorf,a,l,0,2,5,2,4,14.75,6.588235294117647
Bundesliga,2018,2019-03-30 14:30:00,Fortuna Duesseldorf,h,w,3,3,1,4,9,22.666666666666668,6.869565217391305
Bundesliga,2018,2019-04-06 14:30:00,Fortuna Duesseldorf,a,w,3,2,1,4,7,16.40909090909091,6.741935483870968
Bundesliga,2018,2019-04-14 14:30:00,Fortuna Duesseldorf,h,l,0,1,4,1,12,33.357142857142854,8.807692307692308
Bundesliga,2018,2019-04-20 14:30:00,Fortuna Duesseldorf,a,l,0,1,3,4,7,14.333333333333334,8.08695652173913
Bundesliga,2018,2019-04-27 14:30:00,Fortuna Duesseldorf,h,w,3,4,1,6,16,20.923076923076923,12.954545454545457
Bundesliga,2018,2019-05-05 14:30:00,Fortuna Duesseldorf,a,d,1,1,1,8,0,12.941176470588236,16.90909090909091
Bundesliga,2018,2019-05-11 14:30:00,Fortuna Duesseldorf,a,l,0,2,3,4,9,20.95,10.653846153846152
Bundesliga,2018,2019-05-18 13:30:00,Fortuna Duesseldorf,h,w,3,2,1,14,5,7.846153846153846,12.458333333333334
Bundesliga,2018,2018-08-25 16:30:00,Nuernberg,a,l,0,0,1,3,4,14.4,11.916666666666666
Bundesliga,2018,2018-09-01 13:30:00,Nuernberg,h,d,1,1,1,6,4,12.25,24.0
Bundesliga,2018,2018-09-16 13:30:00,Nuernberg,a,d,1,1,1,4,3,15.38888888888889,8.928571428571429
Bundesliga,2018,2018-09-22 13:30:00,Nuernberg,h,w,3,2,0,11,6,15.75,72.25
Bundesliga,2018,2018-09-26 18:30:00,Nuernberg,a,l,0,0,7,3,8,32.22222222222222,13.25
Bundesliga,2018,2018-09-29 13:30:00,Nuernberg,h,w,3,3,0,3,11,26.23076923076923,13.0
Bundesliga,2018,2018-10-07 16:00:00,Nuernberg,a,l,0,0,6,2,5,28.916666666666668,8.2
Bundesliga,2018,2018-10-20 13:30:00,Nuernberg,h,l,0,1,3,3,15,25.266666666666666,5.708333333333333
Bundesliga,2018,2018-10-28 11:30:00,Nuernberg,h,d,1,1,1,3,4,17.933333333333334,11.947368421052632
Bundesliga,2018,2018-11-03 14:30:00,Nuernberg,a,d,1,2,2,6,7,11.272727272727272,7.571428571428571
Bundesliga,2018,2018-11-10 14:30:00,Nuernberg,h,l,0,0,2,4,3,10.2,14.0625
Bundesliga,2018,2018-11-24 17:30:00,Nuernberg,a,l,0,2,5,3,10,15.842105263157896,9.74074074074074
Bundesliga,2018,2018-12-03 19:30:00,Nuernberg,h,d,1,1,1,5,6,12.608695652173912,2.7857142857142856
Bundesliga,2018,2018-12-08 14:30:00,Nuernberg,a,l,0,0,3,2,21,66.71428571428571,4.766666666666667
Bundesliga,2018,2018-12-14 19:30:00,Nuernberg,h,l,0,0,2,7,2,25.90909090909091,5.935483870967742
Bundesliga,2018,2018-12-18 17:30:00,Nuernberg,a,l,0,0,2,4,7,17.047619047619047,19.33333333333333
Bundesliga,2018,2018-12-22 14:30:00,Nuernberg,h,l,0,0,1,8,3,8.545454545454545,14.952380952380953
Bundesliga,2018,2019-01-20 14:30:00,Nuernberg,h,l,0,1,3,10,9,17.142857142857142,11.4
Bundesliga,2018,2019-01-26 14:30:00,Nuernberg,a,l,0,1,2,2,7,9.041666666666666,7.333333333333333
Bundesliga,2018,2019-02-02 14:30:00,Nuernberg,h,d,1,1,1,2,5,14.909090909090908,7.379310344827586
Bundesliga,2018,2019-02-09 14:30:00,Nuernberg,a,l,0,0,2,5,6,14.944444444444445,5.45
Bundesliga,2018,2019-02-18 19:30:00,Nuernberg,h,d,1,0,0,1,3,25.866666666666667,9.36842105263158
Bundesliga,2018,2019-02-23 17:30:00,Nuernberg,a,l,0,1,2,0,11,27.272727272727277,5.363636363636363
Bundesliga,2018,2019-03-02 14:30:00,Nuernberg,h,l,0,0,1,6,4,10.285714285714286,4.282051282051282
Bundesliga,2018,2019-03-10 14:30:00,Nuernberg,a,l,0,1,2,3,12,27.33333333333333,6.181818181818182
Bundesliga,2018,2019-03-17 14:30:00,Nuernberg,a,l,0,0,1,2,17,14.5,6.727272727272728
Bundesliga,2018,2019-03-30 14:30:00,Nuernberg,h,w,3,3,0,2,5,14.8,8.958333333333334
Bundesliga,2018,2019-04-06 14:30:00,Nuernberg,a,d,1,1,1,5,6,11.833333333333334,7.310344827586207
Bundesliga,2018,2019-04-12 19:30:00,Nuernberg,h,d,1,1,1,9,5,10.882352941176473,9.692307692307692
Bundesliga,2018,2019-04-20 14:30:00,Nuernberg,a,l,0,0,2,7,20,22.75,8.25
Bundesliga,2018,2019-04-28 17:00:00,Nuernberg,h,d,1,1,1,2,6,32.083333333333336,9.055555555555555
Bundesliga,2018,2019-05-04 14:30:00,Nuernberg,a,l,0,0,2,2,8,19.0,7.290322580645161
Bundesliga,2018,2019-05-11 14:30:00,Nuernberg,h,l,0,0,4,11,10,28.272727272727277,12.91304347826087
Bundesliga,2018,2019-05-18 13:30:00,Nuernberg,a,l,0,1,5,2,6,32.92857142857143,9.517241379310343
Bundesliga,2019,2019-08-16 19:30:00,Bayern Munich,h,d,1,2,2,17,2,10.5,16.217391304347824
Bundesliga,2019,2019-08-24 17:30:00,Bayern Munich,a,w,3,3,0,9,6,9.68421052631579,18.28
Bundesliga,2019,2019-08-31 14:30:00,Bayern Munich,h,w,3,6,1,8,2,5.354838709677419,20.35
Bundesliga,2019,2019-09-14 16:30:00,Bayern Munich,a,d,1,1,1,10,7,9.142857142857142,17.178571428571427
Bundesliga,2019,2019-09-21 13:30:00,Bayern Munich,h,w,3,4,0,12,7,7.92,14.5
Bundesliga,2019,2019-09-28 13:30:00,Bayern Munich,a,w,3,3,2,17,2,9.857142857142858,16.8
Bundesliga,2019,2019-10-05 14:30:00,Bayern Munich,h,l,0,1,2,11,3,8.206896551724139,21.473684210526315
Bundesliga,2019,2019-10-19 14:30:00,Bayern Munich,a,d,1,2,2,20,3,6.294117647058823,33.53846153846154
Bundesliga,2019,2019-10-26 14:30:00,Bayern Munich,h,w,3,2,1,15,0,8.863636363636363,15.535714285714286
Bundesliga,2019,2019-11-02 14:30:00,Bayern Munich,a,l,0,1,5,5,7,15.0,9.953488372093023
Bundesliga,2019,2019-11-09 17:30:00,Bayern Munich,h,w,3,4,0,8,1,10.0,18.272727272727277
Bundesliga,2019,2019-11-23 14:30:00,Bayern Munich,a,w,3,4,0,14,3,5.565217391304348,32.38461538461539
Bundesliga,2019,2019-11-30 17:30:00,Bayern Munich,h,l,0,1,2,16,3,4.607142857142857,20.5
Bundesliga,2019,2019-12-07 14:30:00,Bayern Munich,a,l,0,1,2,8,2,5.575757575757576,9.96875
Bundesliga,2019,2019-12-14 14:30:00,Bayern Munich,h,w,3,6,1,15,3,4.838709677419355,33.083333333333336
Bundesliga,2019,2019-12-18 19:30:00,Bayern Munich,a,w,3,3,1,15,8,5.923076923076923,23.933333333333334
Bundesliga,2019,2019-12-21 14:30:00,Bayern Munich,h,w,3,2,0,11,5,7.75,19.83333333333333
Bundesliga,2019,2020-01-19 14:30:00,Bayern Munich,a,w,3,4,0,12,3,4.543478260869565,25.529411764705884
Bundesliga,2019,2020-01-25 17:30:00,Bayern Munich,h,w,3,5,0,10,2,8.428571428571429,35.61538461538461
Bundesliga,2019,2020-02-01 14:30:00,Bayern Munich,a,w,3,3,1,9,3,6.857142857142857,19.125
Bundesliga,2019,2020-02-09 17:00:00,Bayern Munich,h,d,1,0,0,6,5,8.15,16.185185185185187
Bundesliga,2019,2020-02-16 14:30:00,Bayern Munich,a,w,3,4,1,18,5,7.592592592592593,14.083333333333334
